"STATION","NAME","DATE","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","WDFG","WSFG"
"CA007025251","MONTREAL INTERNATIONAL A, QC CA","2013-09-13","0.14","0.0",,,"63","53",,
"CA007025251","MONTREAL INTERNATIONAL A, QC CA","2013-09-14","0.00","0.0",,,"59","49",,
"CA007025251","MONTREAL INTERNATIONAL A, QC CA","2013-09-15","0.09","0.0",,,"66","49",,
"CA007025251","MONTREAL INTERNATIONAL A, QC CA","2013-09-16","0.38","0.0",,,"56","42",,
"CA007025251","MONTREAL INTERNATIONAL A, QC CA","2013-09-17","0.00","0.0",,,"63","40",,
"CA007025251","MONTREAL INTERNATIONAL A, QC CA","2013-09-18","0.00","0.0",,,"69","46",,
"CA007025251","MONTREAL INTERNATIONAL A, QC CA","2013-09-19","0.00","0.0",,,"73","48",,
"CA007025251","MONTREAL INTERNATIONAL A, QC CA","2013-09-20","0.00","0.0",,,"78","55",,
"CA007025251","MONTREAL INTERNATIONAL A, QC CA","2013-09-21","0.43","0.0",,,"70","60",,
"CA007025251","MONTREAL INTERNATIONAL A, QC CA","2013-09-22","0.28","0.0",,,"60","44",,
"CA007025251","MONTREAL INTERNATIONAL A, QC CA","2013-09-23","0.00","0.0",,,"55","42",,
"CA007025251","MONTREAL INTERNATIONAL A, QC CA","2013-09-24","0.00","0.0",,,"66","45",,
"CA007025251","MONTREAL INTERNATIONAL A, QC CA","2013-09-25","0.00","0.0",,,"64","43",,
"CA007025251","MONTREAL INTERNATIONAL A, QC CA","2013-09-26","0.00","0.0",,,"64","43",,
"CA007025251","MONTREAL INTERNATIONAL A, QC CA","2013-09-27","0.00","0.0",,,"68","49",,
"CA007025251","MONTREAL INTERNATIONAL A, QC CA","2013-09-28","0.00","0.0",,,"72","47",,
"CA007025251","MONTREAL INTERNATIONAL A, QC CA","2013-09-29","0.00","0.0",,,"73","51",,
"CA007025251","MONTREAL INTERNATIONAL A, QC CA","2013-09-30","0.00","0.0",,,"74","50",,
"CA007025251","MONTREAL INTERNATIONAL A, QC CA","2013-10-01","0.00","0.0",,,"74","53",,
"CA007025251","MONTREAL INTERNATIONAL A, QC CA","2013-10-02","0.00","0.0",,,"76","54",,
"CA007025251","MONTREAL INTERNATIONAL A, QC CA","2013-10-03","0.00","0.0",,,"70","49",,
"CA007025251","MONTREAL INTERNATIONAL A, QC CA","2013-10-04","0.00","0.0",,,"63","55",,
"CA007025251","MONTREAL INTERNATIONAL A, QC CA","2013-10-05","0.00","0.0",,,"63","52",,
"CA007025251","MONTREAL INTERNATIONAL A, QC CA","2013-10-06","0.24","0.0",,,"59","46",,
"CA007025251","MONTREAL INTERNATIONAL A, QC CA","2013-10-08","0.00","0.0",,,"58","44",,
"CA007025251","MONTREAL INTERNATIONAL A, QC CA","2013-10-09","0.00","0.0",,,"63","39",,
"CA007025251","MONTREAL INTERNATIONAL A, QC CA","2013-10-10","0.00","0.0",,,"67","42",,
"CA007025251","MONTREAL INTERNATIONAL A, QC CA","2013-10-11","0.00","0.0",,,"71","43",,
"CA007025251","MONTREAL INTERNATIONAL A, QC CA","2013-10-12","0.00","0.0",,,"72","47",,
"CA007025251","MONTREAL INTERNATIONAL A, QC CA","2013-10-13","0.00","0.0",,,"68","47",,
"CA007025251","MONTREAL INTERNATIONAL A, QC CA","2013-10-14","0.13","0.0",,,"64","50",,
